time,hex,callsign,latitude,longitude,no_position,altitude,squawk,ground speed,track,vertical speed
2020-01-26 17:37:27Z.466,0xa9a1ad,N72EX,34.24695,-118.44002,P,1275,235,137,295,256
2020-01-26 17:37:29Z.468,0xa9a1ad,,34.24745,-118.44136,P,1300,0,136,294,320
2020-01-26 17:37:30Z.156,0xa9a1ad,,34.2476,-118.44171,P,1300,235,136,294,320
2020-01-26 17:37:30Z.528,0xa9a1ad,N72EX,34.24773,-118.44209,P,1300,235,136,294,320
2020-01-26 17:37:30Z.738,0xa9a1ad,N72EX,34.24773,-118.44209,P,1300,235,136,294,256
2020-01-26 17:37:31Z.492,0xa9a1ad,N72EX,34.24773,-118.44209,P,1300,235,136,294,256
2020-01-26 17:37:31Z.538,0xa9a1ad,N72EX,34.24786,-118.44248,P,1300,235,136,294,256
2020-01-26 17:37:33Z.652,0xa9a1ad,N72EX,34.24848,-118.44412,P,1300,235,136,293,64
2020-01-26 17:37:34Z.432,0xa9a1ad,N72EX,34.24873,-118.44489,P,1300,235,136,292,-64
2020-01-26 17:37:35Z.052,0xa9a1ad,,34.24887,-118.44528,P,1300,235,135,293,128
2020-01-26 17:37:36Z.244,0xa9a1ad,N72EX,34.24913,-118.44606,P,1300,235,136,291,-192
2020-01-26 17:37:36Z.736,0xa9a1ad,N72EX,34.24913,-118.44606,P,1300,235,136,291,-192
2020-01-26 17:37:36Z.922,0xa9a1ad,N72EX,34.24913,-118.44606,P,1300,235,136,291,-192
2020-01-26 17:37:37Z.802,0xa9a1ad,N72EX,34.24941,-118.44692,P,1300,235,136,291,-192
2020-01-26 17:37:38Z.254,0xa9a1ad,,34.2495,-118.4472,P,1275,235,135,293,128
2020-01-26 17:37:38Z.696,0xa9a1ad,,34.24974,-118.44803,P,1275,235,137,290,-128
2020-01-26 17:37:39Z.132,0xa9a1ad,N72EX,34.24988,-118.44841,P,1275,235,138,290,-128
2020-01-26 17:37:40Z.656,0xa9a1ad,N72EX,34.25016,-118.44926,P,1275,235,140,289,-64
2020-01-26 17:37:40Z.656,0xa9a1ad,N72EX,34.25016,-118.44926,P,1275,235,139,290,-128
2020-01-26 17:37:40Z.660,0xa9a1ad,N72EX,34.25006,-118.44893,P,1275,235,139,290,-128
2020-01-26 17:37:41Z.232,0xa9a1ad,N72EX,34.25016,-118.44926,P,1275,235,136,294,256
2020-01-26 17:37:42Z.908,0xa9a1ad,N72EX,34.25061,-118.45084,P,1275,235,141,288,128
2020-01-26 17:37:43Z.126,0xa9a1ad,,34.25072,-118.45122,P,1275,235,141,288,192
2020-01-26 17:37:45Z.034,0xa9a1ad,N72EX,34.25111,-118.4528,P,1300,235,142,288,320
2020-01-26 17:37:45Z.746,0xa9a1ad,,34.25102,-118.45235,P,1275,235,141,288,192
2020-01-26 17:37:45Z.850,0xa9a1ad,N72EX,34.25123,-118.45316,P,1300,235,142,288,384
2020-01-26 17:37:46Z.258,0xa9a1ad,N72EX,34.25132,-118.45345,P,1300,235,142,288,384
2020-01-26 17:37:46Z.390,0xa9a1ad,N72EX,34.25123,-118.45316,P,1300,235,140,289,-64
2020-01-26 17:37:47Z.986,0xa9a1ad,N72EX,34.25174,-118.45499,P,1300,235,142,287,320
2020-01-26 17:37:50Z.750,0xa9a1ad,,34.25207,-118.45619,P,1300,235,142,287,320
2020-01-26 17:37:51Z.334,0xa9a1ad,N72EX,34.25244,-118.45757,P,1300,235,144,288,192
2020-01-26 17:37:51Z.614,0xa9a1ad,,34.25225,-118.45682,P,1300,235,144,288,256
2020-01-26 17:37:51Z.748,0xa9a1ad,N72EX,34.25235,-118.45722,P,1300,235,142,287,320
2020-01-26 17:37:52Z.132,0xa9a1ad,N72EX,34.25235,-118.45722,P,1300,235,144,288,256
2020-01-26 17:37:53Z.110,0xa9a1ad,N72EX,34.25258,-118.45795,P,1300,235,144,288,192
2020-01-26 17:37:55Z.478,0xa9a1ad,N72EX,34.25313,-118.4598,P,1300,235,145,289,64
2020-01-26 17:37:56Z.622,0xa9a1ad,N72EX,34.25349,-118.46104,P,1325,235,146,290,64
2020-01-26 17:37:57Z.458,0xa9a1ad,N72EX,34.25359,-118.46132,P,1300,235,146,291,0
2020-01-26 17:37:58Z.062,0xa9a1ad,N72EX,34.25397,-118.46249,P,1325,235,147,291,0
2020-01-26 17:37:58Z.454,0xa9a1ad,N72EX,34.25386,-118.4621,P,1325,235,147,291,0
2020-01-26 17:37:58Z.982,0xa9a1ad,,34.25397,-118.46249,P,1325,235,146,290,64
2020-01-26 17:37:59Z.580,0xa9a1ad,N72EX,34.25414,-118.46288,P,1325,235,147,291,0
2020-01-26 17:37:59Z.670,0xa9a1ad,N72EX,34.25439,-118.46368,P,1325,235,148,293,-64
2020-01-26 17:38:00Z.540,0xa9a1ad,N72EX,34.25472,-118.46443,P,1325,235,148,293,-64
2020-01-26 17:38:01Z.616,0xa9a1ad,N72EX,34.25472,-118.46443,P,1325,235,148,293,-64
2020-01-26 17:38:03Z.616,0xa9a1ad,N72EX,34.2556,-118.46681,P,1325,235,149,294,0
2020-01-26 17:38:05Z.136,0xa9a1ad,,34.25602,-118.46793,P,1325,235,149,294,0
2020-01-26 17:38:05Z.672,0xa9a1ad,N72EX,34.25611,-118.46826,P,1325,235,149,294,64
2020-01-26 17:38:06Z.084,0xa9a1ad,,34.25629,-118.46861,P,1325,235,149,294,0
2020-01-26 17:38:06Z.644,0xa9a1ad,N72EX,34.25639,-118.46901,P,1325,235,150,294,0
2020-01-26 17:38:07Z.070,0xa9a1ad,N72EX,34.25639,-118.46901,P,1325,235,150,294,0
2020-01-26 17:38:07Z.320,0xa9a1ad,N72EX,34.25658,-118.46947,P,1300,235,150,294,0
2020-01-26 17:38:10Z.180,0xa9a1ad,N72EX,34.25729,-118.47141,P,1300,235,151,294,-64
2020-01-26 17:38:12Z.112,0xa9a1ad,N72EX,34.25784,-118.47284,P,1300,235,151,294,-128
2020-01-26 17:38:12Z.132,0xa9a1ad,N72EX,34.25798,-118.47326,P,1300,235,151,294,-128
2020-01-26 17:38:13Z.084,0xa9a1ad,N72EX,34.25798,-118.47326,P,1300,235,151,294,-128
2020-01-26 17:38:13Z.702,0xa9a1ad,N72EX,34.2583,-118.47404,P,1300,235,151,294,-64
2020-01-26 17:38:14Z.704,0xa9a1ad,,34.25858,-118.47485,P,1300,235,151,294,-128
2020-01-26 17:38:15Z.846,0xa9a1ad,N72EX,34.25909,-118.4761,P,1300,235,151,294,-128
2020-01-26 17:38:16Z.240,0xa9a1ad,N72EX,34.25909,-118.4761,P,1300,235,152,295,-256
2020-01-26 17:38:16Z.740,0xa9a1ad,N72EX,34.2594,-118.47678,P,1300,235,153,295,-256
2020-01-26 17:38:18Z.178,0xa9a1ad,N72EX,34.25949,-118.47707,P,1300,235,151,295,-256
2020-01-26 17:38:18Z.694,0xa9a1ad,N72EX,34.26007,-118.47839,P,1300,235,154,296,-256
2020-01-26 17:38:19Z.790,0xa9a1ad,N72EX,34.26007,-118.47839,P,1300,235,153,296,-256
2020-01-26 17:38:21Z.372,0xa9a1ad,N72EX,34.26091,-118.48039,P,1275,235,154,296,-192
2020-01-26 17:38:21Z.376,0xa9a1ad,N72EX,34.26091,-118.48039,P,1275,235,154,296,-192
2020-01-26 17:38:23Z.176,0xa9a1ad,N72EX,34.26128,-118.48122,P,1275,235,154,297,-64
2020-01-26 17:38:24Z.062,0xa9a1ad,N72EX,34.26165,-118.48206,P,1275,235,154,297,-64
2020-01-26 17:38:24Z.620,0xa9a1ad,N72EX,34.26201,-118.48289,P,1275,235,153,298,320
2020-01-26 17:38:26Z.726,0xa9a1ad,N72EX,34.26254,-118.484,P,1300,235,153,299,256
2020-01-26 17:38:27Z.176,0xa9a1ad,N72EX,34.26287,-118.48474,P,1300,235,153,298,320
2020-01-26 17:38:28Z.124,0xa9a1ad,N72EX,34.26306,-118.48514,P,1300,235,153,299,128
2020-01-26 17:38:29Z.752,0xa9a1ad,N72EX,34.26343,-118.48587,P,1300,235,152,300,128
2020-01-26 17:38:30Z.304,0xa9a1ad,,34.26394,-118.48698,P,1300,235,152,300,192
2020-01-26 17:38:31Z.612,0xa9a1ad,N72EX,34.26411,-118.48733,P,1300,235,153,300,192
2020-01-26 17:38:32Z.324,0xa9a1ad,N72EX,34.26454,-118.48817,P,1300,235,152,300,192
2020-01-26 17:38:33Z.276,0xa9a1ad,N72EX,34.26492,-118.48886,P,1300,235,152,301,256
2020-01-26 17:38:34Z.270,0xa9a1ad,N72EX,34.26529,-118.48961,P,1325,235,152,301,256
2020-01-26 17:38:34Z.280,0xa9a1ad,N72EX,34.26529,-118.48961,P,1325,235,152,301,256
2020-01-26 17:38:36Z.018,0xa9a1ad,,34.26598,-118.49104,P,1325,235,152,301,192
2020-01-26 17:38:36Z.756,0xa9a1ad,N72EX,34.26636,-118.49178,P,1350,235,151,300,128
2020-01-26 17:38:37Z.818,0xa9a1ad,N72EX,34.26636,-118.49178,P,1350,235,151,300,128
2020-01-26 17:38:38Z.234,0xa9a1ad,N72EX,34.26668,-118.49242,P,1325,235,151,300,128
2020-01-26 17:38:39Z.688,0xa9a1ad,N72EX,34.2672,-118.49356,P,1325,235,151,299,64
2020-01-26 17:38:40Z.712,0xa9a1ad,N72EX,34.26738,-118.49402,P,1325,235,152,299,64
2020-01-26 17:38:41Z.840,0xa9a1ad,,34.26773,-118.49467,P,1325,235,152,299,0
2020-01-26 17:38:42Z.156,0xa9a1ad,N72EX,34.26805,-118.4954,P,1325,235,152,299,64
2020-01-26 17:38:43Z.724,0xa9a1ad,N72EX,34.26845,-118.49625,P,1325,235,151,298,256
2020-01-26 17:38:43Z.878,0xa9a1ad,N72EX,34.26845,-118.49625,P,1325,235,152,299,128
2020-01-26 17:38:44Z.316,0xa9a1ad,N72EX,34.2686,-118.49657,P,1325,235,155,297,-128
2020-01-26 17:38:44Z.714,0xa9a1ad,N72EX,34.26874,-118.49691,P,1350,235,151,298,256
2020-01-26 17:38:45Z.552,0xa9a1ad,N72EX,34.26938,-118.49831,P,1350,235,150,298,384
2020-01-26 17:38:47Z.552,0xa9a1ad,N72EX,34.2698,-118.49939,P,1350,235,150,297,256
2020-01-26 17:38:48Z.666,0xa9a1ad,N72EX,34.27013,-118.50014,P,1375,235,151,297,256
2020-01-26 17:38:49Z.822,0xa9a1ad,N72EX,34.27039,-118.50083,P,1375,235,150,295,128
2020-01-26 17:38:50Z.898,0xa9a1ad,N72EX,34.27071,-118.50156,P,1400,235,150,296,192
2020-01-26 17:38:51Z.950,0xa9a1ad,N72EX,34.27112,-118.50279,P,1375,235,149,292,128
2020-01-26 17:38:51Z.978,0xa9a1ad,N72EX,34.27097,-118.50243,P,1375,235,150,296,192
2020-01-26 17:38:52Z.056,0xa9a1ad,N72EX,34.27126,-118.50324,P,1375,235,148,292,128
2020-01-26 17:38:54Z.302,0xa9a1ad,N72EX,34.27148,-118.50403,P,1375,235,148,290,192
2020-01-26 17:38:54Z.628,0xa9a1ad,N72EX,34.2718,-118.50532,P,1400,235,147,287,192
2020-01-26 17:38:57Z.060,0xa9a1ad,N72EX,34.27222,-118.50712,P,1400,235,145,284,256
2020-01-26 17:38:57Z.482,0xa9a1ad,N72EX,34.27226,-118.50751,P,1400,235,145,282,192
2020-01-26 17:38:58Z.198,0xa9a1ad,N72EX,34.27235,-118.50795,P,1400,235,145,281,256
2020-01-26 17:38:59Z.912,0xa9a1ad,N72EX,34.27255,-118.50946,P,1400,235,143,280,320
2020-01-26 17:39:00Z.798,0xa9a1ad,N72EX,34.27263,-118.51019,P,1400,235,141,277,512
2020-01-26 17:39:01Z.872,0xa9a1ad,N72EX,34.27269,-118.51089,P,1425,235,140,276,448
2020-01-26 17:39:03Z.354,0xa9a1ad,N72EX,34.27274,-118.51215,P,1450,235,139,273,512
2020-01-26 17:39:03Z.548,0xa9a1ad,N72EX,34.27274,-118.51215,P,1450,235,140,274,448
2020-01-26 17:39:05Z.436,0xa9a1ad,N72EX,34.27277,-118.51378,P,1450,235,138,270,256
2020-01-26 17:39:07Z.354,0xa9a1ad,N72EX,34.27277,-118.51485,P,1450,235,139,268,64
2020-01-26 17:39:07Z.904,0xa9a1ad,N72EX,34.27274,-118.51524,P,1450,235,139,268,64
